Transaction Date,Value Date,Narration,Chq/Ref Number,Withdrawal,Deposit,Balance
29/04/2025,29/04/2025,UPI/511925401491/07:00:43/UPI/khannaji m2556@okaxi,,78.00,,"5,652.16Cr"
28/04/2025,28/04/2025,UPI/511825063712/23:43:21/UPI/jitegurjar1 24@okaxi,,57.00,,"5,730.16Cr"
28/04/2025,28/04/2025,UPI/511824789788/22:22:59/UPI/arza0263 3@okhdfcban,,100.00,,"5,787.16Cr"
28/04/2025,28/04/2025,UPI/511824727176/22:12:19/UPI/paytmqr5 9vkw4@paytm,,200.00,,"5,887.16Cr"
28/04/2025,28/04/2025,UPI/511824700925/22:07:16/UPI/bsc1@rbl /Sent using,,864.00,,"6,087.16Cr"
28/04/2025,28/04/2025,UPI/511824240160/20:59:38/REVERSAL,,,53.00,"6,951.16Cr"
28/04/2025,28/04/2025,UPI/511824240160/20:59:38/UPI/mohamm adshakib60665,,53.00,,"6,898.16Cr"
28/04/2025,28/04/2025,UPI/511824213860/20:58:49/REVERSAL,,,52.00,"6,951.16Cr"
28/04/2025,28/04/2025,UPI/511824213860/20:58:49/UPI/mohamm adshakib60665,,52.00,,"6,899.16Cr"
28/04/2025,28/04/2025,UPI/511821838593/16:00:21/UPI/dl859173 1@okabi/Sen,,85.00,,"6,951.16Cr"
28/04/2025,28/04/2025,UPI/511821752684/15:42:55/UPI/q6727044 02@ybl/Sent,,80.00,,"7,036.16Cr"
28/04/2025,28/04/2025,UPI/511820147336/11:43:36/UPI/sangre00 27-1@okaxis,,84.00,,"7,116.16Cr"
28/04/2025,28/04/2025,UPI/511820027070/11:26:51/UPI/blinkit.pay u@hdfcba,,"3,728.00",,"7,200.16Cr"
28/04/2025,28/04/2025,UPI/511858468278/10:02:21/UPI/ranjanaraj put767@ok,,,"10,000.00","10,928.16Cr"
28/04/2025,28/04/2025,UPI/511818999778/08:55:10/UPI/81041621 90@ybl/Sent,,125.00,,928.16Cr
28/04/2025,28/04/2025,UPI/511818169216/00:47:40/UPI/mohamm adshakib60665,,84.00,,"1,053.16Cr"
27/04/2025,27/04/2025,UPI/511717521015/21:29:26/UPI/dhruvsing hgurjar80@,,100.00,,"1,137.16Cr"
27/04/2025,27/04/2025,UPI/511717379371/21:09:57/UPI/pallivialro nald@oki,,200.00,,"1,237.16Cr"
27/04/2025,27/04/2025,UPI/511716776146/19:56:24/UPI/mandalsa ntosh9967@o,,80.00,,"1,437.16Cr"
27/04/2025,27/04/2025,UPI/511715981942/18:21:38/UPI/paytmqr6 6daba@ptys/,,20.00,,"1,517.16Cr"
27/04/2025,27/04/2025,UPI/511715643099/17:31:39/UPI/89604959 77@ptyes/NA,,350.00,,"1,537.16Cr"
27/04/2025,27/04/2025,UPI/511714504488/13:45:05/UPI/ad794379 -2@okaxis/S,,271.00,,"1,887.16Cr"
27/04/2025,27/04/2025,UPI/511713253432/10:06:03/UPI/lavkushsh ukla2123@o,,80.00,,"2,158.16Cr"
27/04/2025,27/04/2025,UPI/511713175016/09:52:31/UPI/greenfoo ds@rbl/Sent,,368.00,,"2,238.16Cr"
27/04/2025,27/04/2025,UPI/511713142730/09:44:34/UPI/diya.naye r@okhdfcba,,930.00,,"2,606.16Cr"
27/04/2025,27/04/2025,UPI/511712880548/08:42:32/UPI/nareshde ewanaraj@yli,,115.00,,"3,536.16Cr"
27/04/2025,27/04/2025,UPI/511712676361/07:24:11/UPI/74938844 01@ibl/Sent,,60.00,,"3,651.16Cr"
27/04/2025,27/04/2025,UPI/511712451029/01:35:58/UPI/76889505 74@ybl/Sent,,82.00,,"3,711.16Cr"
27/04/2025,27/04/2025,UPI/511712371490/00:17:08/UPI/shivanlish ivanil7-1,,97.00,,"3,793.16Cr"
26/04/2025,26/04/2025,UPI/511610224407/18:34:21/UPI/dineshma ndal90th@ok,,100.00,,"3,890.16Cr"
26/04/2025,26/04/2025,UPI/511609995930/18:04:26/UPI/93051941 65@axl/Sent,,103.00,,"3,990.16Cr"
26/04/2025,26/04/2025,UPI/511609888277/17:48:47/UPI/q6727044 02@ybl/Sent,,10.00,,"4,093.16Cr"
26/04/2025,26/04/2025,UPI/511608925766/14:48:17/UPI/vikashku mar764@dol,,88.00,,"4,103.16Cr"
26/04/2025,26/04/2025,UPI/511608886115/14:43:33/UPI/blinkit.pay u@hdfcba,,270.00,,"4,191.16Cr"
26/04/2025,26/04/2025,UPI/511646977956/11:31:26/UPI/spotify.bd w@cool,,119.00,,"4,461.16Cr"
26/04/2025,26/04/2025,UPI/511607609905/11:01:49/UPI/80970112 75@ptsbi/NA,,700.00,,"4,580.16Cr"
26/04/2025,26/04/2025,UPI/548209127751/10:29:06/UPI/ranjanaraj put767@ok,,,"5,000.00","5,280.16Cr"
